cortellis_condition,revised_icd9,icd9,icd9_category,icd9_sub_chapter,icd9_chapter
pernicious anemia,,281,Other deficiency anemias,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
sickle cell anemia,,282,Hereditary hemolytic anemias,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
thalassemia,,282,Hereditary hemolytic anemias,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
hemoglobinopathy,,282,Hereditary hemolytic anemias,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
beta thalassemia,,282,Hereditary hemolytic anemias,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
thalassemia intermedia,,282,Hereditary hemolytic anemias,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
thalassemia major,,282,Hereditary hemolytic anemias,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
sickle cell crisis,,282,Hereditary hemolytic anemias,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
persistent pulmonary hypertension of the newborn,,282,Hereditary hemolytic anemias,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
sickle beta 0 thalassemia,,282,Hereditary hemolytic anemias,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
hemolytic uremic syndrome,,283,Acquired hemolytic anemias,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
plasmodium falciparum infection,,283,Acquired hemolytic anemias,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
plasmodium infection,,283,Acquired hemolytic anemias,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
paroxysmal nocturnal hemoglobinuria,,283,Acquired hemolytic anemias,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
autoimmune hemolytic anemia,,283,Acquired hemolytic anemias,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
cold agglutinin disease,,283,Acquired hemolytic anemias,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
bone marrow failure,,284,Aplastic anemia and other bone marrow failure syndromes,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
parvovirus infection,,284,Aplastic anemia and other bone marrow failure syndromes,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
aplastic anemia,,284,Aplastic anemia and other bone marrow failure syndromes,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
pancytopenia,,284,Aplastic anemia and other bone marrow failure syndromes,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
fanconi anemia,,284,Aplastic anemia and other bone marrow failure syndromes,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
diamond blackfan anemia,,284,Aplastic anemia and other bone marrow failure syndromes,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
cardiotoxicity drug-induced,,285,Other and unspecified anemias,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
blood clotting disorder,,286,Coagulation defects,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
disseminated intravascular coagulation,,286,Coagulation defects,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
factor viii deficiency,,286,Coagulation defects,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
hemophilia,,286,Coagulation defects,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
blood clotting factor deficiency,,286,Coagulation defects,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
factor vii deficiency,,286,Coagulation defects,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
factor ix deficiency,,286,Coagulation defects,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
von willebrands disease,,286,Coagulation defects,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
factor i deficiency,,286,Coagulation defects,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
factor xiii deficiency,,286,Coagulation defects,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
factor ii deficiency,,286,Coagulation defects,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
congenital hemophilia,,286,Coagulation defects,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
thrombocytopenia,,287,Purpura and other hemorrhagic conditions,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
immediate type hypersensitivity,,287,Purpura and other hemorrhagic conditions,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
thrombocyte disorder,,287,Purpura and other hemorrhagic conditions,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
purpura,,287,Purpura and other hemorrhagic conditions,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
thrombocytopenic purpura,,287,Purpura and other hemorrhagic conditions,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
vasculitis,,287,Purpura and other hemorrhagic conditions,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
immune thrombocytopenic purpura,,287,Purpura and other hemorrhagic conditions,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
thrombasthenia,,287,Purpura and other hemorrhagic conditions,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
genital tract inflammation,,288,Diseases of white blood cells,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
leukopenia,,288,Diseases of white blood cells,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
leukopenia drug induced,,288,Diseases of white blood cells,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
granulocytopenia,,288,Diseases of white blood cells,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
neutropenia,,288,Diseases of white blood cells,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
lymphocytopenia,,288,Diseases of white blood cells,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
hypereosinophilic syndrome,,288,Diseases of white blood cells,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
chronic granulomatous disease,,288,Diseases of white blood cells,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
genital tract infection,,288,Diseases of white blood cells,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
hematological disease,,289,Other diseases of blood and blood-forming organs,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
plasmodium vivax infection,,289,Other diseases of blood and blood-forming organs,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
bone marrow disease,,289,Other diseases of blood and blood-forming organs,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
erythrocyte disorder,,289,Other diseases of blood and blood-forming organs,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
heparin induced thrombocytopenia,,289,Other diseases of blood and blood-forming organs,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
polycythemia,,289,Other diseases of blood and blood-forming organs,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
antiphospholipid syndrome,,289,Other diseases of blood and blood-forming organs,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
splenomegaly,,289,Other diseases of blood and blood-forming organs,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
polycythemia vera,,289,Other diseases of blood and blood-forming organs,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
myelofibrosis,,289,Other diseases of blood and blood-forming organs,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
protein c deficiency,,289,Other diseases of blood and blood-forming organs,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
bone marrow depression,,289,Other diseases of blood and blood-forming organs,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
lymphadenitis,,289,Other diseases of blood and blood-forming organs,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
methemoglobinemia,,289,Other diseases of blood and blood-forming organs,Diseases Of The Blood And Blood-Forming Organs,Diseases Of The Blood And Blood-Forming Organs
senile dementia,,290,Dementias,Psychoses,Mental Disorders
vascular dementia,,290,Dementias,Psychoses,Mental Disorders
pediatric psychiatric disorder,,290,Dementias,Psychoses,Mental Disorders
subcortical vascular dementia,,290,Dementias,Psychoses,Mental Disorders
psychotic disorder,,292,Drug-induced mental disorders,Psychoses,Mental Disorders
drug withdrawal syndrome,,292,Drug-induced mental disorders,Psychoses,Mental Disorders
delirium,,293,Transient mental disorders due to conditions classified elsewhere,Psychoses,Mental Disorders
dementia,,294,Persistent mental disorders due to conditions classified elsewhere,Psychoses,Mental Disorders
neurodegenerative disease,,294,Persistent mental disorders due to conditions classified elsewhere,Psychoses,Mental Disorders
hiv associated dementia,,294,Persistent mental disorders due to conditions classified elsewhere,Psychoses,Mental Disorders
schizophrenia,,295,Schizophrenic disorders,Psychoses,Mental Disorders
schizoaffective disorder,,295,Schizophrenic disorders,Psychoses,Mental Disorders
catatonia,,295,Schizophrenic disorders,Psychoses,Mental Disorders
mood disorder,,296,Episodic mood disorders,Psychoses,Mental Disorders
bipolar disorder,,296,Episodic mood disorders,Psychoses,Mental Disorders
mania,,296,Episodic mood disorders,Psychoses,Mental Disorders
seasonal affective disorder,,296,Episodic mood disorders,Psychoses,Mental Disorders
bipolar i disorder,,296,Episodic mood disorders,Psychoses,Mental Disorders
bipolar ii disorder,,296,Episodic mood disorders,Psychoses,Mental Disorders
major depressive disorder,,296,Episodic mood disorders,Psychoses,Mental Disorders
autism,,299,Pervasive developmental disorders,Psychoses,Mental Disorders
pervasive child developmental disorder,,299,Pervasive developmental disorders,Psychoses,Mental Disorders
asperger syndrome,,299,Pervasive developmental disorders,Psychoses,Mental Disorders
anxiety disorder,,300,"Anxiety, dissociative and somatoform disorders","Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Mental Disorders
obsessive compulsive disorder,,300,"Anxiety, dissociative and somatoform disorders","Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Mental Disorders
phobia,,300,"Anxiety, dissociative and somatoform disorders","Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Mental Disorders
panic disorder,,300,"Anxiety, dissociative and somatoform disorders","Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Mental Disorders
agoraphobia,,300,"Anxiety, dissociative and somatoform disorders","Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Mental Disorders
generalized anxiety disorder,,300,"Anxiety, dissociative and somatoform disorders","Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Mental Disorders
social phobia,,300,"Anxiety, dissociative and somatoform disorders","Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Mental Disorders
sexual deviation,,301,Personality disorders,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Mental Disorders
antisocial personality disorder,,301,Personality disorders,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Mental Disorders
borderline personality disorder,,301,Personality disorders,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Mental Disorders
erectile dysfunction,,302,Sexual and gender identity disorders,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Mental Disorders
